domain,supports_ech,ech_public_name,ech_config_b64,hrr_received,validation_ok,latency_ech_ms,latency_plain_ms,latency_delta_ms,error
cloudflare.com,false,,,false,,,,,
dash.cloudflare.com,false,,,false,,,,,
blog.cloudflare.com,false,,,false,,,,,
workers.cloudflare.com,false,,,false,,,,,
1.1.1.1,false,,,false,,,,,
speed.cloudflare.com,false,,,false,,,,,
facebook.com,false,,,false,,,,,
instagram.com,false,,,false,,,,,
whatsapp.com,false,,,false,,,,,
google.com,false,,,false,,,,,
youtube.com,false,,,false,,,,,
gmail.com,false,,,false,,,,,
drive.google.com,false,,,false,,,,,
fastly.com,false,,,false,,,,,
github.com,false,,,false,,,,,
github.io,false,,,false,,,,,
brave.com,false,,,false,,,,,
search.brave.com,false,,,false,,,,,
mozilla.org,false,,,false,,,,,
firefox.com,false,,,false,,,,,
wikipedia.org,false,,,false,,,,,
wikimedia.org,false,,,false,,,,,
apple.com,false,,,false,,,,,
icloud.com,false,,,false,,,,,
microsoft.com,false,,,false,,,,,
azure.com,false,,,false,,,,,
amazon.com,false,,,false,,,,,
aws.amazon.com,false,,,false,,,,,
x.com,false,,,false,,,,,
twitter.com,false,,,false,,,,,
duckduckgo.com,false,,,false,,,,,
proton.me,false,,,false,,,,,
tuta.com,false,,,false,,,,,
signal.org,false,,,false,,,,,
discord.com,false,,,false,,,,,
zoom.us,false,,,false,,,,,
slack.com,false,,,false,,,,,
notion.so,false,,,false,,,,,
linear.app,false,,,false,,,,,
vercel.com,false,,,false,,,,,
netlify.com,false,,,false,,,,,
